,PlaylistName,PlaylistURL,PlaylistID,Followers,NumberTracks,Duration,Owner,OwnerURL,Number of Tracks,Description,Collaborative,ImageURL
865,Trees memorial,https://open.spotify.com/playlist/3aMoI3JdqSrwDNxmFnDdkZ,3aMoI3JdqSrwDNxmFnDdkZ,0,21,0,Maria BraveHummingbird,https://open.spotify.com/user/31ealraey42jojq6l42qkwg6mhoy,21,,False,https://mosaic.scdn.co/640/ab67616d0000b273353eba902758deb975853eeaab67616d0000b2734ad6150d2b31edca14cb94d0ab67616d0000b273cc0147311b97f13e3f8423d2ab67616d0000b273e4b18b230430744c89c4814a
866,Mom Memorial,https://open.spotify.com/playlist/3oytl6NDZaNl08boipoTDN,3oytl6NDZaNl08boipoTDN,0,5,0,Susan,https://open.spotify.com/user/31chlnutcjo3kotpgkktm5dti63y,5,,False,https://mosaic.scdn.co/640/ab67616d0000b2734e54a784e88ade7d654c1d3eab67616d0000b2735feaee09144f20f365f04018ab67616d0000b273776f6044e7d8331d71a3b1e5ab67616d0000b273d306b5a20ed70afb03148973
867,Anthony's Memorial,https://open.spotify.com/playlist/2HK1bIc7IZ7DUEwINEcFPF,2HK1bIc7IZ7DUEwINEcFPF,1,61,0,Danny Palmer,https://open.spotify.com/user/1242926005,61,,False,https://mosaic.scdn.co/640/ab67616d0000b273128450651c9f0442780d8eb8ab67616d0000b2732df4d3c8c429700194bc0dfeab67616d0000b273d6627cd5a3fb6403c70471beab67616d0000b273f74baf63e915712df348e647
868,Michael's Memorial Service Music,https://open.spotify.com/playlist/0z6bczDbBQWLctZIYK1lxt,0z6bczDbBQWLctZIYK1lxt,0,31,0,Steve,https://open.spotify.com/user/0gako0px3m9qqvp1ve5bbaacv,31,,False,https://mosaic.scdn.co/640/ab67616d0000b2734e5df11b17b2727da2b718d8ab67616d0000b27373d0d8625dcf1e48043cfbf9ab67616d0000b273749e9bfa78277f30ad2c9a9cab67616d0000b273bdf1893dd79236b73bfd2a04
869,in memorial of you,https://open.spotify.com/playlist/3S4f4MUvAoisFCQhQYTgeB,3S4f4MUvAoisFCQhQYTgeB,8,123,0,kay,https://open.spotify.com/user/xpe17dmbhjjx0adlz4dmllpi9,123,rest easy sae,False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebbe3e714a86edf091bd0dafff3
870,Dad's Memorial,https://open.spotify.com/playlist/4zKW5AdOu6zkgHsxPocXP9,4zKW5AdOu6zkgHsxPocXP9,0,48,0,Katy,https://open.spotify.com/user/31gl2dxq4ao52ryi7t67qpj2ut34,48,,False,https://mosaic.scdn.co/640/ab67616d0000b27365a7ebe928e47f31fd3d229dab67616d0000b27372033a5e2c7bfd38ed554ec6ab67616d0000b2737e12e3a6154eb79f0ee4b36cab67616d0000b273c0e3609ec09bd302030fb6e0
871,Pats memorial ,https://open.spotify.com/playlist/301tHs4eHjo1FIZ9r1lj08,301tHs4eHjo1FIZ9r1lj08,0,87,0,m.richey,https://open.spotify.com/user/m.richey,87,,False,https://mosaic.scdn.co/640/ab67616d0000b2733ce3e2272e25916844f10d86ab67616d0000b2734053ce7818f114a4e8dde08fab67616d0000b27350638bf4b6a49dce27bc4ff5ab67616d0000b273cbcb5083c56df2a557625bca
872,Clique - Album Version (Edited)memorial day,https://open.spotify.com/playlist/3YnJcivEoEIxPmb1dll8u4,3YnJcivEoEIxPmb1dll8u4,1,49,0,myssmetrice,https://open.spotify.com/user/myssmetrice,49,,False,https://mosaic.scdn.co/640/ab67616d0000b2731c3fd856b637a87c675d2f29ab67616d0000b2737edba3ad490d370c219e0a3fab67616d0000b273e36459b9d2155a8115f35180ab67616d0000b273f1e034dcee6f73b100b5dec6
873,Memorial stones ,https://open.spotify.com/playlist/4IJDaypKr63Ipzm1uQWIqn,4IJDaypKr63Ipzm1uQWIqn,0,54,0,Elisha Rainier,https://open.spotify.com/user/b296v1u2bkkzxmlgp4s3jbpxb,54,,False,https://mosaic.scdn.co/640/ab67616d0000b2733a10590dc0053f0f222d76aeab67616d0000b2738faab61f157cc41d8b60bd25ab67616d0000b273b6199acbeb5a6cbab2c35fffab67616d0000b273f2d549ddd427e87af97acbf6
874,memorial service,https://open.spotify.com/playlist/2I7EKI5aplOb67BPgOAM5l,2I7EKI5aplOb67BPgOAM5l,1,28,0,Lhaftel,https://open.spotify.com/user/od544lxkpxbqdrznpvdoo1gl9,28,,False,https://mosaic.scdn.co/640/ab67616d0000b2734a48363421a42aba0274edfcab67616d0000b27398c68ffeb145b3e336432205ab67616d0000b273ca55903c39833a98646b318cab67616d0000b273f63122ca44b41c733bc1f428
875,Karen Memorial Service,https://open.spotify.com/playlist/0PjWSw944ka4LWb3OHHSkm,0PjWSw944ka4LWb3OHHSkm,0,11,0,George Strippoli,https://open.spotify.com/user/12174325170,11,,False,https://mosaic.scdn.co/640/ab67616d0000b273008b06ec71019afd70153889ab67616d0000b27307744e2ed983efa3e6620a47ab67616d0000b2736a4175046856b90a9b5d67a1ab67616d0000b273d8c154a223634191c4ed18cf
