,PlaylistName,PlaylistURL,PlaylistID,Followers,NumberTracks,Duration,Owner,OwnerURL,Number of Tracks,Description,Collaborative,ImageURL
44,The Grief Playlist,https://open.spotify.com/playlist/4BTczhNEhozscFgVVcxNlR,4BTczhNEhozscFgVVcxNlR,748,49,0,Sarah Sparks,https://open.spotify.com/user/121436318,49,A playlist for when God says no. Good songs for grief and lament.,False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebb330e81c8b9a55ce0c28c277a
45,Instrumental Music to Grieve To,https://open.spotify.com/playlist/5AoOB5tTvIRJ8CV3YDSt2d,5AoOB5tTvIRJ8CV3YDSt2d,160,82,0,Cory Alstad,https://open.spotify.com/user/coryalstad1974,82,"Sometimes we all need to sit quietly with our grief. Featuring the quiet, gentle and sad instrumental music of Olafur Arnalds, Max Richter, Joep Beving and other composers from around the world.",False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebb67ec5cb509aaed435b6c55d7
46,pov: you lost someone you love,https://open.spotify.com/playlist/7dVOB7CvIj5bInoQ82sxh3,7dVOB7CvIj5bInoQ82sxh3,92,26,0,Ari 💜❤️💙,https://open.spotify.com/user/72dfu99f4v6hgzf9inj6i208u,26,This is for all you people that are going through losing a loved one or just for those people that need to listen to calming music. (If you are coping dont shuffle these just listen to the playlist throughout your day and cry. It is OK to cry),False,https://mosaic.scdn.co/640/ab67616d0000b273024ea7e883a713a3ad552a71ab67616d0000b2737a4781629469bb83356cd318ab67616d0000b273ad79d30f49891b2a2f7757f8ab67616d0000b273bb7a5690800769bfbab14e1b
47,music for mournful souls,https://open.spotify.com/playlist/0qOUBBv2MoNx3QnEheeKFh,0qOUBBv2MoNx3QnEheeKFh,9,111,0,Ankita,https://open.spotify.com/user/4wdp4g744gfm1xa6vrzq30uqq,111,,False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebbe2c56601efe3b1d9371547ba
48,Muriendo De Amor Por Ella Radio,https://open.spotify.com/playlist/37i9dQZF1E8MZwYZH0DhpX,37i9dQZF1E8MZwYZH0DhpX,2,50,0,Spotify,https://open.spotify.com/user/spotify,50,"With Orquesta Caribeños de Guadalupe, La Única Tropical, Los Villacorta Orquesta, Hnos Silva and more",False,https://seeded-session-images.scdn.co/v2/img/122/secondary/track/31ly3XTtDpi7VIAOapZ7pV/en
49,C. Tangana — Muriendo De Envidia,https://open.spotify.com/playlist/41Wi7ptB01jmKC9lcG97Sk,41Wi7ptB01jmKC9lcG97Sk,35,11,0,leygor45,https://open.spotify.com/user/leygor45,11,,False,https://mosaic.scdn.co/640/ab67616d0000b27342aee227ac409ea0925519f1ab67616d0000b273a408c78e231f716383a58eb3ab67616d0000b273c551e371093ef44eb1466b84ab67616d0000b273fdf0ca257453adac7d1167b2
50,"spring morning, doves singing <3",https://open.spotify.com/playlist/7cKFhBUJGOaRy8UrWNckWN,7cKFhBUJGOaRy8UrWNckWN,114,68,0,meg jenkins,https://open.spotify.com/user/mjenkins1305,68,,False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebbd196e601dfb2b19ac1e6b551
51,Grief.,https://open.spotify.com/playlist/5Zi7DV3BXB5dPh7ba6B7T2,5Zi7DV3BXB5dPh7ba6B7T2,1079,74,0,slash,https://open.spotify.com/user/31eccsm3sltbjeg65u6ygtuwgscu,74,when the world is cracking beneath your feet ,False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebb981240b47ad777929249c7f6
52,coping with grief 🫶🏻🕊️,https://open.spotify.com/playlist/1OFKLr7tudHK8FA3WRtHQU,1OFKLr7tudHK8FA3WRtHQU,957,60,0,Miranda Parker,https://open.spotify.com/user/1250124705,60,,False,https://mosaic.scdn.co/640/ab67616d0000b2731917a0f3f4152622a040913fab67616d0000b27352a56df14c3a5e318925787cab67616d0000b273bfedccaca3c8425fdc0a7c73ab67616d0000b273e77c5f6fff6f4fe0b2d2517c
53,Grieving my dead dad… oof,https://open.spotify.com/playlist/6QwZN9jJ4nrBXSXpjWpj10,6QwZN9jJ4nrBXSXpjWpj10,1775,46,0,fearneogormley,https://open.spotify.com/user/feanreogormley,46,"For all my bad bitties who have also lost their dads, it never goes aways but slowly hurts less. keep your head up love you are doing great. I love you all ❤️",False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebbad5b0b7a65da397a17279e74
54,Loved one passed away 🕊,https://open.spotify.com/playlist/21IngzGNxvL9E02dAsxJcO,21IngzGNxvL9E02dAsxJcO,4193,74,0,Maya the swiftie,https://open.spotify.com/user/31h73p5jpacccor7t7a5ldz5wpku,74,,False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebbfb7d3ae15d7bffa7081ba890
55,"Songs about death, loss and grief",https://open.spotify.com/playlist/0emy5VfOb3iFVPKb23aEP6,0emy5VfOb3iFVPKb23aEP6,15129,197,0,Fog Honour,https://open.spotify.com/user/kdqoy71697dvq7q30l3jmn1kn,197,,False,https://mosaic.scdn.co/640/ab67616d0000b273279683be25f4e12a52a13b71ab67616d0000b2739c9f1a8f76a21232c97f6fa6ab67616d0000b273c0142785100dae2ea5f1ce93ab67616d0000b273c52162f54aa26ff5bc52560a
56,"Grieving, Mourning Loss of a Pet -  In Memory of Mona 🐶💗",https://open.spotify.com/playlist/44zfxHgGgHqQTiVrhjXaIU,44zfxHgGgHqQTiVrhjXaIU,167,112,0,Ela Pristine Pasion,https://open.spotify.com/user/misselapasion,112,"Some angels choose paws, but now she has wings.",False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebbefd4d0d23d12cfe4900722da
57,worship for a mourning heart ,https://open.spotify.com/playlist/3Qig5V2ghiEMyyXhbE1Rmt,3Qig5V2ghiEMyyXhbE1Rmt,114,106,0,sarah swoap,https://open.spotify.com/user/sarahjswoap,106,He catches our tears in a bottle - Psalm 56:8,False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebb1b0f6244fc257bee4d427b18
58,Mourning,https://open.spotify.com/playlist/1bajQBeCG1mWb1TwtjwZp4,1bajQBeCG1mWb1TwtjwZp4,7,169,0,lugnut-79,https://open.spotify.com/user/lugnut-79,169,,False,https://mosaic.scdn.co/640/ab67616d0000b27343aafb2edd88b9447f49337dab67616d0000b2737948eec521c67e76cafe30a0ab67616d0000b273861e1ca91df443edf6125bd5ab67616d0000b273b2e38a18955865855eaf8763
59,mourning doves ,https://open.spotify.com/playlist/7iW0tpVcByCGvRkGcRgjTw,7iW0tpVcByCGvRkGcRgjTw,5,73,0,🌱𝔪𝔬𝔰𝔰🌱,https://open.spotify.com/user/2ulo1qj0p1drk34b2ox7oi1ur,73,for my dove &lt;3,False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebba9c92bb882c9982351a8baf1
60,the mourning after ,https://open.spotify.com/playlist/6RJgzxRBiwja0iZhaiMEV5,6RJgzxRBiwja0iZhaiMEV5,225,48,0,josie stackis,https://open.spotify.com/user/chillchill12345,48,,False,https://mosaic.scdn.co/640/ab67616d0000b273696b4e67423edd64784bfbb4ab67616d0000b2738e2a7197dbab728566059ebbab67616d0000b2739ac709b94022896013465886ab67616d0000b273d9194aa18fa4c9362b47464f
61,Mourning September 📛,https://open.spotify.com/playlist/5Xj9A5qV4wqUO9pNi40kK1,5Xj9A5qV4wqUO9pNi40kK1,1,611,0,burningelectronics,https://open.spotify.com/user/burningelectronics,611,,False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebb28853bb289ce7c084dec3828
62,mourning a friend,https://open.spotify.com/playlist/0ch5t4SHU4inCmp5V16cx6,0ch5t4SHU4inCmp5V16cx6,175,74,0,Elias,https://open.spotify.com/user/31j36cq6ksfcsncpooubw3vmlp3a,74,I made this playlist after a friend of mine committed suicide.,False,https://mosaic.scdn.co/640/ab67616d0000b2731ad149489625bd3b7d9ea6a2ab67616d0000b2733661c01b54e181d01bd439a1ab67616d0000b2737f213369d5265a60af5f7e82ab67616d0000b273fdcd66dc526a25e1555ae81d
63,mourning the loss of my childhood,https://open.spotify.com/playlist/1cloClttY24MaE45RUixDN,1cloClttY24MaE45RUixDN,136,75,0,kahiau,https://open.spotify.com/user/sqee7k9fbmn54e6m2ggciyz75,75,violently sobbing myself to sleep,False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebb3e216273303da07c6aeb5e18
64,songs that sound like summer rain and mourning doves when you wake up,https://open.spotify.com/playlist/31MxU8wNeZcvVbjoGp23EG,31MxU8wNeZcvVbjoGp23EG,756,217,0,Gaia Estrano,https://open.spotify.com/user/1162170588,217,,False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebb7f1677913df676a173ab04d8
65,Mourning Music,https://open.spotify.com/playlist/1Bmso3KnSX1lZIChBDASmh,1Bmso3KnSX1lZIChBDASmh,15,53,0,SAXEDRAL RECORDS,https://open.spotify.com/user/2uhx4crnc5k1z3mmukcvdy30g,53,,False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebbe25ae227d83509fd3c150ee7
66,Mourning someone that’s still around ,https://open.spotify.com/playlist/0GT41p0Wz4E7fccBP7HN1Z,0GT41p0Wz4E7fccBP7HN1Z,11,25,0,Lois 🍓,https://open.spotify.com/user/2v8nvkr9gcls4d7gki32p74f1,25,I opened my heart up to you and I don’t think you have truly ever cared and honestly I don’t think you ever will. But it’s been 8 years and I fear things won’t ever change. ,False,https://mosaic.scdn.co/640/ab67616d0000b27368b90c3b34c3ac22856ddab8ab67616d0000b27390fd9741e1838115cd90b3b6ab67616d0000b27395f754318336a07e85ec59bcab67616d0000b273a91b75c9ef65ed8d760ff600
